19	19	☆青铜剑
4688	19	☆☆青铜剑
4499	19	☆☆☆青铜剑
20	20	☆淬铁剑
4689	20	☆☆淬铁剑
4500	20	☆☆☆淬铁剑
21	21	☆百炼剑
4690	21	☆☆百炼剑
4501	21	☆☆☆百炼剑
22	22	☆青锋剑
4691	22	☆☆青锋剑
4503	22	☆☆☆青锋剑
147	147	☆寒霜剑
4692	147	☆☆寒霜剑
4504	147	☆☆☆寒霜剑
148	148	☆丹心剑
4693	148	☆☆丹心剑
4505	148	☆☆☆丹心剑
1927	1927	☆碧涛剑
4694	1927	☆☆碧涛剑
4506	1927	☆☆☆碧涛剑
1928	1928	☆流光剑
4695	1928	☆☆流光剑
4507	1928	☆☆☆流光剑
5831	5831	☆藏锋剑
5845	5831	☆☆藏锋剑
5838	5831	☆☆☆藏锋剑
5832	5832	☆多情剑
5846	5832	☆☆多情剑
5839	5832	☆☆☆多情剑
5833	5833	☆孤穹
5847	5833	☆☆孤穹
5840	5833	☆☆☆孤穹
5834	5834	☆龙渊
5848	5834	☆☆龙渊
5841	5834	☆☆☆龙渊
5835	5835	☆天罡
5849	5835	☆☆天罡
5842	5835	☆☆☆天罡
5836	5836	☆碧落
5850	5836	☆☆碧落
5843	5836	☆☆☆碧落
5837	5837	☆诛仙
5851	5837	☆☆诛仙
5844	5837	☆☆☆诛仙
36	36	☆子母双剑
4696	36	☆☆子母双剑
4508	36	☆☆☆子母双剑
37	37	☆鸳鸯双剑
4697	37	☆☆鸳鸯双剑
4509	37	☆☆☆鸳鸯双剑
39	39	☆连横双剑
4698	39	☆☆连横双剑
4510	39	☆☆☆连横双剑
40	40	☆阴阳双剑
4699	40	☆☆阴阳双剑
4511	40	☆☆☆阴阳双剑
41	41	☆坎离双剑
4700	41	☆☆坎离双剑
4512	41	☆☆☆坎离双剑
151	151	☆和合双剑
4701	151	☆☆和合双剑
4513	151	☆☆☆和合双剑
1929	1929	☆流金双剑
4702	1929	☆☆流金双剑
4514	1929	☆☆☆流金双剑
1930	1930	☆比翼双剑
4703	1930	☆☆比翼双剑
4515	1930	☆☆☆比翼双剑
5873	5873	☆风花双剑
5887	5873	☆☆风花双剑
5880	5873	☆☆☆风花双剑
5874	5874	☆紫青双剑
5888	5874	☆☆紫青双剑
5881	5874	☆☆☆紫青双剑
5875	5875	☆鸳蝶舞
5889	5875	☆☆鸳蝶舞
5882	5875	☆☆☆鸳蝶舞
5876	5876	☆星月映
5890	5876	☆☆星月映
5883	5876	☆☆☆星月映
5877	5877	☆日夜浮
5891	5877	☆☆日夜浮
5884	5877	☆☆☆日夜浮
5878	5878	☆乾坤破
5892	5878	☆☆乾坤破
5885	5878	☆☆☆乾坤破
5879	5879	☆天地合
5893	5879	☆☆天地合
5886	5879	☆☆☆天地合
6	6	☆点钢刀
4704	6	☆☆点钢刀
4516	6	☆☆☆点钢刀
12	12	☆折铁刀
4705	12	☆☆折铁刀
4517	12	☆☆☆折铁刀
28	28	☆鬼头刀
4706	28	☆☆鬼头刀
4518	28	☆☆☆鬼头刀
29	29	☆百战刀
4707	29	☆☆百战刀
4519	29	☆☆☆百战刀
156	156	☆破阵刀
4708	156	☆☆破阵刀
4520	156	☆☆☆破阵刀
158	158	☆斩将刀
4709	158	☆☆斩将刀
4521	158	☆☆☆斩将刀
1933	1933	☆归尘刀
4710	1933	☆☆归尘刀
4522	1933	☆☆☆归尘刀
1934	1934	☆溢彩刀
4711	1934	☆☆溢彩刀
4523	1934	☆☆☆溢彩刀
5810	5810	☆若拙刀
5824	5810	☆☆若拙刀
5817	5810	☆☆☆若拙刀
5811	5811	☆绝情刀
5825	5811	☆☆绝情刀
5818	5811	☆☆☆绝情刀
5812	5812	☆断岳
5826	5812	☆☆断岳
5819	5812	☆☆☆断岳
5813	5813	☆解牛
5827	5813	☆☆解牛
5820	5813	☆☆☆解牛
5814	5814	☆地煞
5828	5814	☆☆地煞
5821	5814	☆☆☆地煞
5815	5815	☆黄泉
5829	5815	☆☆黄泉
5822	5815	☆☆☆黄泉
5816	5816	☆割鹿
5830	5816	☆☆割鹿
5823	5816	☆☆☆割鹿
47	47	☆柳叶双刀
4712	47	☆☆柳叶双刀
4524	47	☆☆☆柳叶双刀
48	48	☆蝴蝶双刀
4713	48	☆☆蝴蝶双刀
4525	48	☆☆☆蝴蝶双刀
49	49	☆合纵双刀
4714	49	☆☆合纵双刀
4526	49	☆☆☆合纵双刀
50	50	☆连环双刀
4715	50	☆☆连环双刀
4527	50	☆☆☆连环双刀
162	162	☆子午双刀
4716	162	☆☆子午双刀
4528	162	☆☆☆子午双刀
164	164	☆锯齿双刀
4717	164	☆☆锯齿双刀
4529	164	☆☆☆锯齿双刀
1935	1935	☆饮血双刀
4718	1935	☆☆饮血双刀
4530	1935	☆☆☆饮血双刀
1936	1936	☆比目双刀
4719	1936	☆☆比目双刀
4531	1936	☆☆☆比目双刀
5852	5852	☆雪月双刀
5866	5852	☆☆雪月双刀
5859	5852	☆☆☆雪月双刀
5853	5853	☆形意双刀
5867	5853	☆☆形意双刀
5860	5853	☆☆☆形意双刀
5854	5854	☆恩爱会
5868	5854	☆☆恩爱会
5861	5854	☆☆☆恩爱会
5855	5855	☆水云间
5869	5855	☆☆水云间
5862	5855	☆☆☆水云间
5856	5856	☆恨别离
5870	5856	☆☆恨别离
5863	5856	☆☆☆恨别离
5857	5857	☆长相守
5871	5857	☆☆长相守
5864	5857	☆☆☆长相守
5858	5858	☆归去来
5872	5858	☆☆归去来
5865	5858	☆☆☆归去来
57	57	☆点钢枪
4736	57	☆☆点钢枪
4549	57	☆☆☆点钢枪
58	58	☆浑铁枪
4737	58	☆☆浑铁枪
4550	58	☆☆☆浑铁枪
59	59	☆烂银枪
4738	59	☆☆烂银枪
4551	59	☆☆☆烂银枪
60	60	☆蛇形枪
4739	60	☆☆蛇形枪
4552	60	☆☆☆蛇形枪
129	129	☆沥泉枪
4740	129	☆☆沥泉枪
4553	129	☆☆☆沥泉枪
130	130	☆提炉枪
4741	130	☆☆提炉枪
4554	130	☆☆☆提炉枪
